"name","sex","age","team","games","city","sport","event","medal"
"Oscar Gomer Swahn","M","64","Sweden","1912 Summer","Stockholm","Shooting","Shooting Men's Running Target, Single Shot, Team","Gold"
"Charles Jacobus","M","64","United States","1904 Summer","St. Louis","Roque","Roque Men's Singles","Gold"
